repo,base_commit,license,num_cs_files,root_sln_or_csproj_files,verify_command
nicholasham/FluentInstallation,0f674a3e82a296bad81d8cc2127c52453dddd756,Apache-2.0,98,FluentInstallation.sln,dotnet test FluentInstallation.sln
milestonetg/NHystrix,86b466c549becf6fcb276b3277b1dca402a4f15b,MIT,44,NHystrix.sln,dotnet test NHystrix.sln
zavolokas/Inpainting,82a3bfab95db766bd8bc76dc39c7356fae782c07,MIT,41,Inpainting.sln,dotnet test Inpainting.sln
Azer0s/HadesLang,483a0b725379f9d07f038069417ff31fd1795fbc,MIT,45,HadesLang.sln,dotnet test HadesLang.sln
aspnet/AspNetOutputCache,2d81c8ad418343abd1331b5a6da809aa6c66542a,MIT,48,Microsoft.AspNet.OutputCache.sln,dotnet test Microsoft.AspNet.OutputCache.sln
madelson/DistributedLock,c08eaef4e2d12a670b4c98563ef12e490252e4a0,MIT,55,DistributedLock.sln,dotnet test DistributedLock.sln
microsoft/service-fabric-backup-explorer,f2c08c0565a0290afe300b0b2971da84bd44034b,MIT,43,backupExplorer.sln,dotnet test backupExplorer.sln
GuOrg/Gu.Wpf.ValidationScope,7a90141fb44205add8da38fc8a7d2eb80ea0d1c3,MIT,115,Gu.Wpf.ValidationScope.sln,dotnet test Gu.Wpf.ValidationScope.sln
rcasady616/Selenium.WebDriver.Equip,c8557be7cb17ac72d87e4b806567ec927754da46,MIT,85,Selenium.WebDriver.Equip.sln,dotnet test Selenium.WebDriver.Equip.sln
tunnelvisionlabs/NOpenCL,645521ccd1ad285fb38a51c9ff0124824c54a1a1,MIT,82,NOpenCL.sln,dotnet test NOpenCL.sln
Arcidev/Arci.Networking,d9c2ebdadef172b2f77fdcc43bfd49a9cd0aac93,MIT,42,Arci.Networking.sln,dotnet test Arci.Networking.sln
gui-cs/Terminal.Gui,8e63b9fdf8d79d6471ebba2be927022fc4a8aeb7,MIT,63,Terminal.sln,dotnet test Terminal.sln
Softlr/Selenium.WebDriver.Extensions,a45cae12f8a5b0dba0a88017334121c185fe540c,Apache-2.0,58,Selenium.WebDriver.Extensions.sln,dotnet test Selenium.WebDriver.Extensions.sln
gissehel/Wox-WebApp,c41130ac076dff560acbd62f174d36f32ca2f2b8,MIT,46,Wox.WebApp.sln,dotnet test Wox.WebApp.sln
linq2db/linq2db.EntityFrameworkCore,5fde6fb2ec4b1604a98aa52a1c26985f4134ba94,MIT,53,linq2db.EFCore.sln,dotnet test linq2db.EFCore.sln
Bynder/bynder-c-sharp-sdk,c6e2ea2bd63c42a401e20135a0067cbb50cffbfc,MIT,76,byndercsharpsdk.sln,dotnet test byndercsharpsdk.sln
Fresa/Kafka.Protocol,e23891efa4d65c922cb844b8026cbae9fd01f525,MIT,107,Kafka.Protocol.sln,dotnet test Kafka.Protocol.sln
hudl/Mjolnir,5d804bdd6489e0be0243af65a355fa76c0d049e9,Apache-2.0,73,Hudl.Mjolnir.sln,dotnet test Hudl.Mjolnir.sln
praeclarum/sqlite-net,9b226f1f70d9438d2823f577e811d659c1c06235,MIT,50,SQLite.sln,dotnet test SQLite.sln
gpailler/MegaApiClient,05658cb9233363400460c2d69878f5cdb8265fa3,MIT,45,MegaApiClient.sln,dotnet test MegaApiClient.sln
Eveneum/Eveneum,e21de35de2e2437622666a6a5607cc38d68d5987,MIT,51,Eveneum.sln,dotnet test Eveneum.sln
scottksmith95/LINQKit,6ef8b0e7170701c6b3c981b1f668f5694d234379,MIT,79,LinqKit Solution.sln,dotnet test LinqKit Solution.sln
structurizr/dotnet-extensions,a1284bf80646507f66271d696305540574c8b147,Apache-2.0,68,Structurizr.sln,dotnet test Structurizr.sln
Fody/Scalpel,40f9baf065866f8138f84902221599198abf1f39,MIT,48,Scalpel.sln,dotnet test Scalpel.sln
BrianSchroer/SparkyTools,722cab1536b50a105ff2cb43dfb46de7d54270a0,MIT,53,SparkyTools.sln,dotnet test SparkyTools.sln
And42/TerrLauncherPackCreator,adfd09d177a9b84a11b9ba7065901bff30ba9f84,MIT,113,TerrLauncherPackCreator.sln,dotnet test TerrLauncherPackCreator.sln
TelegramBots/Telegram.Bot.Framework,6ac27f80d1ae29f86ccf790d7d2a5b21759182ec,MIT,84,Telegram.Bot.Framework.Net45.sln;Telegram.Bot.Framework.NetCore.sln;Telegram.Bot.Framework.sln,dotnet test Telegram.Bot.Framework.Net45.sln && dotnet test Telegram.Bot.Framework.NetCore.sln && dotnet test Telegram.Bot.Framework.sln
aspnetboilerplate/module-zero-forsaken,d1ff596f89d023859b84c35d6b232a09512abc17,MIT,406,Abp.Zero.sln,dotnet test Abp.Zero.sln
nkristek/Stein,fa808a7a2b8f5c6c4abad5e82035239dc931b0c2,MIT,173,Stein.sln,dotnet test Stein.sln
Vannevelj/SharpSource,838ac791e9a73e8eba48a076372c809c1d6689f2,MIT,134,sharpsource.sln,dotnet test sharpsource.sln
GuOrg/Gu.Units,919ac703aabdbafe4eff56d4ca9f82003d2aeb8b,MIT,655,Gu.Units.sln,dotnet test Gu.Units.sln
RT-Projects/RT.Util,34ea71192551719a8754518a695da58fe6bdf81c,MIT,198,RT.Util.sln,dotnet test RT.Util.sln
DevTeam/IoCContainer,a011f52b6162e0886104618e0a80260a40c705fe,MIT,358,IoC.sln;Samples.sln,dotnet test IoC.sln && dotnet test Samples.sln
YevgenNabokov/ForgedOnce,19057ab8dce12788a44072753ab122037634dcbb,MIT,293,ForgedOnce.All.sln;ForgedOnce.Sandbox.sln,dotnet test ForgedOnce.All.sln && dotnet test ForgedOnce.Sandbox.sln
daryllabar/DLaB.Xrm,f8f19df7e43b337a28f60ebf9237aa0edcd8211f,MIT,1613,DLaB.Xrm.sln,dotnet test DLaB.Xrm.sln
AntonyCorbett/OnlyM,30fe8bdd1dba6861e5bf9c9519a4c8f899a06a30,MIT,216,OnlyM.sln,dotnet test OnlyM.sln
vmelamed/vm,9d6a6ebad226966bd07f2e63557adcbb3476ae49,MIT,738,vm.Aspects.sln,dotnet test vm.Aspects.sln
jaegertracing/jaeger-client-csharp,a29d3fe4ae16d01d94fd57e4134f065fa5805cac,Apache-2.0,226,Jaeger.sln,dotnet test Jaeger.sln
DigitalRuby/ExchangeSharp,8e0fe5bd345674ab6dd40243ccf65b5439a5eaca,MIT,232,ExchangeSharp.sln,dotnet test ExchangeSharp.sln
RalfKoban/MiKo-Analyzers,28892c39dccf0e40d8a0813546712f9bf21e503b,MIT,1300,MiKo.Analyzer.sln,dotnet test MiKo.Analyzer.sln
tugberkugurlu/WebAPIDoodle,8d53d887f63616dd0438e6c008ebbfc4a88036f6,MIT,121,WebApiDoodle.sln,dotnet test WebApiDoodle.sln
XeroAPI/Xero-NetStandard,afa7fe80ec7e950e6cf5b1b92c199628c258058c,MIT,707,Xero.Api.sln,dotnet test Xero.Api.sln
DevZest/RDO.Net,020ffcb12aa4aa328340cd6fd65a1a2470e7cd31,MIT,439,RDO.Data.sln,dotnet test RDO.Data.sln
reqnroll/Reqnroll.Rider,ff2347a397655874d5945db9d1db93871ec8b6c5,MIT,210,ReqnrollRiderPlugin.sln,dotnet test ReqnrollRiderPlugin.sln
lordmilko/BuildTools,1b25b10716ff35b3d56ea3f496a0e1c90078660c,MIT,288,BuildTools.sln,dotnet test BuildTools.sln
architdate/PKHeX-Plugins,1297eb86b84079ec1d332bf7b502709b3400d85f,MIT,133,PKHeX-Plugins.sln,dotnet test PKHeX-Plugins.sln
microsoft/Partner-Center-PowerShell,0297e0bac5438dbd5e8bea4bd663b916d0dc4d60,MIT,281,Partner-Center-PowerShell.sln,dotnet test Partner-Center-PowerShell.sln
asimov-deploy/asimov-deploy-winagent,62e7e5c8121b35d742fb16f55211fc2689781c45,Apache-2.0,189,AsimovDeploy.sln,dotnet test AsimovDeploy.sln
open-telemetry/opentelemetry-dotnet-contrib,efd10777672707def2be999dd2d87bcf8eaccb9f,Apache-2.0,781,opentelemetry-dotnet-contrib.sln,dotnet test opentelemetry-dotnet-contrib.sln
OndrejNepozitek/Edgar-DotNet,fa49a754718f394a50f5f79cde7150f0074c48bf,MIT,187,MapGeneration.sln,dotnet test MapGeneration.sln
TomasJohansson/adapters-shortest-paths-dotnet,e3722e971d86c3f606e05e5279ed9b07917574ea,MIT,153,adapters-shortest-paths-dotnet.sln,dotnet test adapters-shortest-paths-dotnet.sln
Nethereum/Nethereum,9585d974d56e8c967fd4d52b2a934fcf2a36da01,MIT,579,Nethereum.sln,dotnet test Nethereum.sln
meamod/MeaMod.DNS,e472e1e01bd29519380748860c3149c40a33456c,MIT,146,MeaMod.DNS.sln,dotnet test MeaMod.DNS.sln
EgoEngineModding/ego.nefsedit,2027f878ff90151b3f178b30a8579ca5d3a8721d,MIT,161,NeFSedit.sln,dotnet test NeFSedit.sln
SciSharp/TensorFlow.NET,e8623bd3d0581ba2d31b262890b20dd40319fe0c,Apache-2.0,343,TensorFlow.NET.sln,dotnet test TensorFlow.NET.sln
Ephemerality/xray-builder.gui,ebe65bffcb5ec3323d61562fc213d641848e8803,MIT,238,XRayBuilderGUI.sln,dotnet test XRayBuilderGUI.sln
BrianSchroer/sparky-test-helpers,0c14962d852389ac88e29a5207bd51e3ffcfeda4,MIT,200,SparkyTestHelpers.sln,dotnet test SparkyTestHelpers.sln
